"cliente","LTV","Deal","Revenue Share","Servico extra","corretagem","lt"
Shalom Consorcios Ltda(Shalom Consorcios Ltda),35000.0,35000.0,,,,10
Shopping Das Tortas(Sm Lacorth Moraes ),35000.0,35000.0,,,,7
Shopping Do Bebe Comercio De Vestuario Ltda(Shopping Do Bebe Comercio De Vestuario Ltda ),35000.0,35000.0,,,,10
Silvas Store,35000.0,35000.0,,,,14
Sis Multibrand(Tt Comercio De Vestuario Ltda ),35000.0,35000.0,,,,10
Skara Bilhar(Btd Industria E Comercio Ltda ),35000.0,35000.0,,,,10
Smartbrain(Brain Solucoes Integradas Ltda ),35000.0,35000.0,,,,7
Soflex Decor(Dell Roma Comercio De Moveis E Decoracao Ltda ),35000.0,35000.0,,,,10
Sol Telecom(Sol - Comercio E Servicos De Informatica Ltda ),35000.0,35000.0,,,,7
Solar Shopping Ltda(Solar Shopping Ltda),35000.0,35000.0,,,,8
Solar Technology (Solar Technology Ltda ),35000.0,35000.0,,,,10
Soma(Rfd Centro Educacional Eireli ),35000.0,35000.0,,,,10
Sorridents | Avaré/Sp (Odonto Center Avaré Ltda ),35000.0,35000.0,,,,10
Sost(Sost ),35000.0,35000.0,,,,10
Souza Brasilia Comercio Varejista De Artigo Do Vestuario(Souza Brasilia Comercio Varejista De Artigo Do Vestuario Ltda ),35000.0,35000.0,,,,7
St Produções(Focare Estudio Fotografico Ltda ),35000.0,35000.0,,,,10
Star(Star Servicos De Internet Ltda ),35000.0,35000.0,,,,7
Studio Savoye(Casa Modelo Moveis Planejados Ltda.),35000.0,35000.0,,,,10
Sucesso Médico,35000.0,35000.0,,,,7
Supermercado Varandas(Supermercado Varandas Ltda),35000.0,35000.0,,,,10
T4l Tecnologia(T4l Tecnologia Ltda)(T4l Tecnologia Ltda),35000.0,35000.0,,,,10
Tecmatisa(Tecmatisa Industria E Comercio De Maquinas Ltda.),35000.0,35000.0,,,,10
Tecnic Sistema Seguranca Eletronica Ltda(Tecnic Sistema Seguranca Eletronica Ltda),35000.0,35000.0,,,,7
Teixeira & Salsa Comercio De Cosmeticos E Servicos Esteticos Ltda(Teixeira & Salsa Comercio De Cosmeticos E Servicos Esteticos Ltda),35000.0,35000.0,,,,14
Tem Beneficios(Tem Beneficios Cartao De Descontos Ltda ),35000.0,35000.0,,,,10
The Dust(The Dust Company Comercio De Vestuarios Ltda),35000.0,35000.0,,,,7
Titan Portas(Bruno Paixão De Rosa ),35000.0,35000.0,,,,7
Tm Assessoria E Consultoria Em Engenharia Ltda(Tm Assessoria E Consultoria Em Engenharia Ltda),35000.0,35000.0,,,,7
Torque Ferramentas(Torque Ferramentas Ltda ),35000.0,35000.0,,,,10
Torres Cabral Materiais Para Construção(Torres Cabral Materiais Para Construcao Eireli ),35000.0,35000.0,,,,7
Totale Gaming Academy(Guizilim Esportes Ltda),35000.0,35000.0,,,,7
Trio Arquitetura E Consultoria Ltda(Trio Arquitetura E Consultoria ),35000.0,35000.0,,,,10
Ultra Sports Science(Ultra Sports Medicine - Fisioterapia E Medicina Ltda),35000.0,35000.0,,,,5
Up For Net(Up For Net Ltda),35000.0,35000.0,,,,11
Up Textil Eireli(Up Textil Eireli ),35000.0,35000.0,,,,10
Urus Restaurante(Vaticano Restaurante Ltda ),35000.0,35000.0,,,,10
Vamos Cristalina Digital Ltda(Vamos Cristalina Digital Ltda ),35000.0,35000.0,,,,10
Vapt Baterias(Vapt Baterias Ltda)(Vapt Baterias Ltda),35000.0,35000.0,,,,10
Vendor Trade Comercio Exterior(Vendor Import Export Ltda),35000.0,35000.0,,,,5
Verbena Atlantic Tower(Verbena Atlantic Tower Empreendimentos Imobiliários Ltda),35000.0,35000.0,,,,7
Viaconect Telecomunicacoes - Comercial Ltda.(Viaconect Telecomunicacoes - Comercial Ltda.),35000.0,35000.0,,,,10
Victoriano(R Carvalho Victoriano De Souza Odontologia Especializada),35000.0,35000.0,,,,10
Viraliza Digital (Viuzz),35000.0,35000.0,,,,10
Virtex Telecom(Virtex Telecom Ltda )(Virtex Telecom Ltda),35000.0,35000.0,,,,7
Viva Urbano Imoveis(Viva Urbano Servicos Imobiliarios Ltda ),35000.0,35000.0,,,,7
Wam Digital Ltda(Wam Digital Ltda ),35000.0,35000.0,,,,10
Way-Data Solution S/A(Way-Data Solution S/A),35000.0,35000.0,,,,7
World Sound Translation Ltda(World Sound Translation Ltda )(World Sound Translation Ltda),35000.0,35000.0,,,,7
Xlabs On-Security Seguranca Da Informacao Ltda(Xlabs On-Security Seguranca Da Informacao Ltda ),35000.0,35000.0,,,,7
Xy Diagnose(Xy Diagnose Laboratorio De Biotecnologia Ltda),35000.0,35000.0,,,,7
Yacht Master(Oracon Comercio E Industria De Confeccoes Ltda),35000.0,35000.0,,,,5
Yara Gonçalves Silva,35000.0,35000.0,,,,7
Yara Gonçalves Silva - Consultoria,35000.0,35000.0,,,,7
Yasuna Motors S.A.(Yasuna Motors S.A ),35000.0,35000.0,,,,7
Yzatiz(Yzatiz Desenvolvimento De Programas De Gestao Ltda),35000.0,35000.0,,,,7
Ze Do Radio Estofados Ltda(Ze Do Radio Estofados Ltda ),35000.0,35000.0,,,,10
Zilfarma Produtos Farmaceuticos Ltda(Zilfarma Produtos Farmaceuticos E Importacao Ltda),35000.0,35000.0,,,,7
Zz2 - Industria E Comercio De Pecas E Acessorios Automotivo Eireli,35000.0,35000.0,,,,7
Body Nutry - Assessoria Byline - Escopo Fechado(Supplement Labs Ltda),34997.0,34997.0,,,,1
Doug Filmes(Doug Filmes Hits Producoes Artisticas Ltda),34993.0,34993.0,,,,7
Bottons & Cia(Thomaz Tortorette Filho Brindes),34992.0,34992.0,,,,8
Meta Clube(Mtech Clube Ltda),34990.0,34990.0,,,,10
Multifrio Bahia Manutencao E Reparo Ltda(Multifrio Bahia Manutencao E Reparo Ltda),34972.0,34972.0,,,,7
Vaapty Itajubá(Moreira Intermediadora De Veiculos Ltda ),34970.0,34970.0,,,,10
Flymilhas Aereas Ltda(Flymilhas Aéreas Ltda),34965.0,34965.0,,,,5
Fava Doceria(Fava Doceria E Confeitaria Ltda),34956.0,34956.0,,,,9
Famous Chicken(Nando'S Fried Chicken Ltda ),34950.0,24500.0,10450.0,,,7
Smartech(Menezes Telefonia Ltda),34950.0,34950.0,,,,5
M&R Indústria E Comércio De Alimentos Eireli(M&R Industria E Comercio De Alimentos Ltda),34930.0,34930.0,,,,7
Soccer Station Br(Soccer Station Br Comercio Entretenimento Ltda),34930.0,34930.0,,,,7
J. Fey Distribuidora(Arthur Fey Ltda),34900.0,34900.0,,,,8
Top Fire(Top Fire Instalacao Contra Incendio Ltda),34880.0,34880.0,,,,8
Ligavit Corretora De Seguros Ltda(Ligavit Corretora De Seguros Ltda),34860.0,34860.0,,,,7
Marques Industria(Marques Industria Ltda),34850.0,34850.0,,,,9
Gptronics Paineis Eletronicos Ltda(Gptronics Paineis Eletronicos Ltda),34848.299999999996,34848.299999999996,,,,13
Tj Vip Lingerie(Vip Moda De Friburgo Comercio De Roupas Ltda),34840.0,34840.0,,,,8
Ind. De Urnas Bignotto Ltda(Ind. De Urnas Bignotto Ltda),34800.0,34800.0,,,,5
Storytelling Promoção E Eventos Ltda(Storytelling Promoção E Eventos Ltda),34800.0,34800.0,,,,6
Sustenpack(Sustenpack Embalagens Sustentaveis Importacao E Exportacao Ltda.),34800.0,34800.0,,,,4
Yes Foco Assessoria Empresarial Ltda(Yes Foco Assessoria Empresarial Ltda),34800.0,34800.0,,,,12
Contabilidade(Antonicelli Producoes Ltda),34770.0,34770.0,,,,10
Garbari Imports(Garbari Importadora E Exportadora Ltda),34770.0,34770.0,,,,10
Pulse Telecom(Maia E Andrade Telecomunicacoes Ltda),34769.25,34769.25,,,,9
Brindei(Brindei),34761.0,34761.0,,,,3
Nelson Irrigacao Brasil Ltda.(Nelson Irrigacao Brasil Ltda.),34750.0,34750.0,,,,10
Ts Telecom(Tec System Sistemas Eletronicos Ltda),34734.0,34734.0,,,,9
Acreditto(Acreditto Financeira De Credito E Negocios Ltda ),34720.0,34720.0,,,,5
Espaço Meraki Terapias(Espaço Meraki Terapias),34713.0,34713.0,,,,7
Sublink Solucoes Mercadologicas Ltda(Sublink Solucoes Mercadologicas Ltda),34685.0,34685.0,,,,7
Chapebraz(Chapebraz Industria E Comercio De Chapeus Ltda),34650.0,34650.0,,,,11
Ias Advocacia(Igor Alves Silva Sociedade Individual De Advocacia ),34650.0,34650.0,,,,11
Multi Print Cartuchos E Informática(C.R.B Comercio De Informatica Ltda),34650.0,34650.0,,,,9
Occa Tecnologia Estetica E Bem Estar Ltda(Occa Tecnologia Estetica E Bem Estar Ltda ),34650.0,34650.0,,,,9
P. A. Portoes Automaticos Ltda(P. A. Portoes Automaticos Ltda),34650.0,34650.0,,,,9
Tatil Inovacao E Tecnologia(Tatil Inovacao E Tecnologia Ltda ),34650.0,34650.0,,,,9
Kathyana Garcia Unipessoal(Kathyana Garcia Unipessoal Ltda),34620.0,34620.0,,,,6
Fundacao Instituto De Administracao - Assessoria Byline - Escopo Fechado(Fundacao Instituto De Administracao),34605.13,34605.13,,,,2
Loop 4 Readymix Llc(Loop 4 Readymix Llc),34601.0,34601.0,,,,7
"Zoom Business - Treinamentos, Negocios E Ti Ltda(Zoom Business - Treinamentos, Negocios E Ti Ltda)",34601.0,34601.0,,,,7
Abreu Queiroz Construtora Ltda(Abreu Queiroz Construtora Ltda),34600.0,34600.0,,,,9
Desafio Play(Desafio Play),34596.0,34596.0,,,,4
Sulgraffmed(Sulgraffmed Fabricacao De Materiais Medicos Ltda),34580.0,34580.0,,,,7
A Nova Mixlounge Ginkeria Ltda(A Nova Mixlounge Ginkeria Ltda),34560.0,34560.0,,,,3
Estopas Bassi(Orlando Bassi),34560.0,34560.0,,,,8
Gravidicas Store(Gravidicas Store Eireli ),34560.0,34560.0,,,,8
"Studio Alta Arquitetura(Alta Regularizacao, Arquitetura E Servicos Ltda )",34560.0,34560.0,,,,8
Sindicato Emp No Com Hoteleiro E Similares De Sjr Preto(Sindicato Emp No Com Hoteleiro E Similares De Sjr Preto),34504.0,34504.0,,,,4
Academia Da Magia(Academia Da Magia Cursos E Treinamentos Ltda),34500.0,34500.0,,,,9
Bm Auto Peças(Bm Comercio E Distribuicao De Pecas Automotivas Ltda),34500.0,34500.0,,,,13
Editora Creative Book(Editora Creative Book Tecnologia Educacional Ltda),34500.0,34500.0,,,,8
Fabula Live Marketing(Fabula Live Marketing E Producoes De Eventos),34500.0,34500.0,,,,10
Fenix Produtos Naturais(Jorge Jose Da Silva ),34500.0,34500.0,,,,10
Goretti Miranda(Joaquim Freitas Cortada),34500.0,34500.0,,,,5
Marcenaria Home Design(Bicco & Bortoleto Comercio E Marcenaria Ltda),34500.0,34500.0,,,,9
Oral Unic | Santa Rosa/Rs (Oral Unic Odontologia Santa Rosa Ltda ),34500.0,34500.0,,,,13
Phd Instituto Dos Olhos(Phd Olhos Instituto Oftalmologico Ltda ),34500.0,34500.0,,,,23
"Prevedello, Toldo E Zambonin Sociedade De Advogados(Prevedello, Toldo E Zambonin Sociedade De Advogados)",34500.0,34500.0,,,,7
Renova Gestora(Renova Gestora De Recursos Ltda),34500.0,34500.0,,,,11
Sete Sonhos Colchoes(Sete Sonhos Comercio De Colchoes Ltda )(Sete Sonhos Comercio De Colchoes Ltda ),34500.0,34500.0,,,,9
Shopping Do Óleo - Centro Automotivo(Shopping Do Oleo Centro Automotivo Ltda ),34500.0,34500.0,,,,15
Thallita Neves Machado (Thallita Neves Machado  ),34500.0,34500.0,,,,11
Tzhara Joalheria(Tzhara Comercio De Joias Ltda),34500.0,34500.0,,,,23
Universom Multieventos(Marival Murilo Santos De Araujo Ltda),34500.0,34500.0,,,,11
Vitoria Regia Farmacia De Manipulacao,34500.0,34500.0,,,,23
Voghiera Do Brasil Comercio Atacadista Eireli(Voghiera Do Brasil Comercio Atacadista Eireli ),34500.0,34500.0,,,,6
Prime8(Prime8 Distribuidor De Tecnologia Ltda),34485.0,34485.0,,,,5
Nélio Fernandes(Nélio Fernandes),34454.0,34454.0,,,,7
Muvy - Clube Do Movimento(Academia Fit Club Ltda),34440.0,34440.0,,,,7
Dutos Engenharia(Dutos Engenharia E Energia Renovaveis Ltda )(Dutos Engenharia E Energia Renovaveis Ltda ),34431.100000000006,34431.100000000006,,,,18
Executivo Moda Masculina Ltda(Executivo Moda Masculina Ltda),34431.0,34431.0,,,,23
Finteligente(Finteligente),34431.0,34431.0,,,,23
Itaplaste(Itaplaste),34431.0,34431.0,,,,23
Madee Confecções De Roupas Ltda(Madee Confecções De Roupas Ltda),34427.200000000004,34427.200000000004,,,,16
Loanda J R Cardoso Com Ltda(Loanda J R Cardoso Com Ltda)(Loanda J R Cardoso Com Ltda..),34419.0,34419.0,,,,7
"Auto Center Lopes(Rbv Pneus, Som E Acessorios Ltda )",34400.0,34400.0,,,,12
Me Clean Higienizacao Profissional(Me Clean Higienizacao Profissional),34400.0,34400.0,,,,4
Nutrino(Nutrino Produtos Alimenticios E Cosmeticos Ltda)(Nutrino Produtos Alimenticios E Cosmeticos Ltda),34400.0,34400.0,,,,4
Plasciti(Plasciti Embalagens Ltda.),34400.0,34400.0,,,,10
Ps Bijouterias (Ps Industria E Comercio De Artigos De Bijouterias Ltda ),34400.0,34400.0,,,,8
Blucultura Moto Pecas Ltda(Blucultura Moto Pecas Ltda),34390.0,34390.0,,,,5
Sousa Embalagens Industriais(Sousa Embalagens Industriais Ltda),34374.0,34374.0,,,,6
Almeida Consultoria(Almeida Promocao De Vendas E Corretagem De Planos Ltda),34355.44,34355.44,,,,8
Dra Rachel Bernardo(Rachel Thacyana Rorato Bernardo Vicentin ),34328.0,34328.0,,,,8
Almenat Extensao Corporativa(Almenat Extensao Corporativa Ltda.),34320.0,34320.0,,,,8
Spa Zen E Estética Ltda(Spa Zen E Estetica Ltda),34320.0,34320.0,,,,6
Standart Engenharia Eletrica(Standart Solucoes Em Energia Ltda ),34320.0,34320.0,,,,10
Aguazul Piracicaba(Aguazul Piscinas Piracicaba Comercio E Servicos Administrativos Ltda),34309.0,34309.0,,,,11
A3p Transportes Turismo E Despachante Eireli,34300.0,34300.0,,,,7
Adelia Campos Sociedade Individual De Advocacia(Adelia Campos Sociedade Individual De Advocacia),34300.0,34300.0,,,,7
Clínica União Paraíso(Clínica União Paraíso),34300.0,34200.0,,100.0,,9
Deolinda Vera Garcia Negreiros Óptica(Deolinda Vera Garcia Negreiros Optica ),34300.0,34300.0,,,,7
Descompli Ti(Descompli Ti Servicos Administrativos E Assessoria Empresarial Ltda.),34300.0,34300.0,,,,7
Dpet(Dinjet Dantas Industria De Injetados Ltda),34300.0,34300.0,,,,7
Fama Motors(Fama Motors Comercio De Veiculos Ltda ),34300.0,34300.0,,,,7
Kingflex Brasil Mobiliario Corporativo(Kingflex Brasil Mobiliario Corporativo Ltda. ),34300.0,34300.0,,,,7
Lmbr Comercio E Servicos Empresariais Ltda(Lmbr Comercio E Servicos Empresariais Ltda),34300.0,34300.0,,,,7
Mdc Projetos(Mdc Projetos Ltda),34300.0,34300.0,,,,7
O Rei Do E.V.A. Ltda(O Rei Do E.V.A. Ltda ),34300.0,34300.0,,,,7
Per Pochi Moda Vii Ltda(Per Pochi Moda Vii Ltda),34300.0,34300.0,,,,7
Petshop(M. Oliveira & T. Souza Ltda),34300.0,34300.0,,,,7
Sua Casa Shop(Sua Casa Shop Ltda ),34300.0,34300.0,,,,7
Viapisos Comercio De Pisos E Decoracoes Ltda(Viapisos Comercio De Pisos E Decoracoes Ltda),34300.0,34300.0,,,,7
Vivaq Medicina De Excelência Ltda(Vivaq Medicina De Excelencia Ltda)(Vivaq Medicina De Excelencia Ltda),34300.0,34300.0,,,,7
Vitrine Car Premium(Vitrine Car Compra E Venda De Veiculos Ltda),34275.0,34275.0,,,,5
Sonnen Energia Ltda(Sonnen Energia Ltda),34230.0,34230.0,,,,7
Dolce Aroma(Dolce Aroma Comercio De Alimentos Eireli),34218.0,34218.0,,,,9
"4d Imobi(4d Negocios Imobiliarios Ltda)",34200.0,34200.0,,,,9
Alma Brazilis(J. De C. Ramalho ),34200.0,34200.0,,,,6
Biomazza(Biomazza Gestao De Residuos Ltda ),34200.0,34200.0,,,,9
Buffet Trianon(Buffet Trianon),34200.0,34200.0,,,,12
Cidade Mais(Pontocom-Edicao De Livros Ltda ),34200.0,34200.0,,,,9
Claudia Rangel(Claudia Rangel Comercio De Joias Ltda ),34200.0,34200.0,,,,9
Coral Comercio E Servicos Ltda(Coral Comercio E Servicos Ltda),34200.0,34200.0,,,,6
Dr Frederico Gomes(Frederico Mesquita Gomes Servicos Medicos Ltda),34200.0,34200.0,,,,9
Dudita Comercial De Confeccoes E Calcados(Dudita Comercial De Confeccoes E Calcados Eireli ),34200.0,34200.0,,,,9
Evoluty Educacao Eireli(Evoluty Educacao Eireli ),34200.0,34200.0,,,,8
Grupo Tmc Mdr Telhas E Construcao Ltda(Mdr Telhas E Construcao Ltda),34200.0,34200.0,,,,9
Hbm Energia Solar Eireli(Hbm Energia Solar Eireli ),34200.0,34200.0,,,,9
Janamor(Fadel Halawi ),34200.0,34200.0,,,,9
Kgc Veiculos(Kgc Corretora De Bens Venda De Automoveis E Servicos Automotivos Ltda ),34200.0,34200.0,,,,9
Linda Joia Indústria E Comércio Ltda (Linda Joia Industria E Comercio De Confeccoes Ltda),34200.0,34200.0,,,,9
Manzoni Motors (Manzoni Motors Comercio De Veiculos Ltda ),34200.0,34200.0,,,,9
Megabor - Assessoria Byline - Escopo Fechado(Megabor),34200.0,34200.0,,,,1
Paber(C2 Comercio De Artigos Para Escritorio Ltda),34200.0,34200.0,,,,6
Pwa Servicos E Intermediacao De Negocios(Pwa Servicos E Intermediacao De Negocios Ltda ),34200.0,34200.0,,,,9
Superagro Solucoes Em Aplicacao De Produtos Agricolas Ltda.(Superagro Solucoes Em Aplicacao De Produtos Agricolas Ltda.),34200.0,34200.0,,,,9
Up Eletronicos(Barateza Comercio De Eletronicos Ltda),34200.0,34200.0,,,,5
Vitruz(Nucleo De Saude Personalizada ),34200.0,34200.0,,,,9
Personalizeit Ltda.(Personalizeit Ltda.),34182.0,34182.0,,,,6
Rvs3d Industria E Servicos Ltda(Rvs3d Industria E Servicos Ltda),34182.0,34182.0,,,,8
Sti Comercio De Produtos Alimenticios Ltda(Sti Comercio De Produtos Alimenticios Ltda ),34150.0,34150.0,,,,11
Emporio Do Marmore Importacao E Exportacao Ltda - Assessoria Byline - Escopo Fechado(Emporio Do Marmore Importacao E Exportacao Ltda),34102.0,34102.0,,,,1
Percont Contabilidade(Percont Contabilidade Ltda),34100.0,34100.0,,,,11
Reis Cell Comercio De Produtos Eletronicos Ltda(Reis Cell Comercio De Produtos Eletronicos Ltda ),34099.979999999996,34099.979999999996,,,,7
Bbq Indahouse Ltda(Bbq Indahouse Ltda),34022.0,34022.0,,,,13
Acess Phones(Th Comercio E Servicos De Comunicacao Unipessoal Limitada),34000.0,34000.0,,,,17
Acquasystem Brasil Industria E Comercio De Bombas Ltda(Acquasystem Brasil Industria E Comercio De Bombas Ltda),34000.0,34000.0,,,,5
Adt Comercio De Artigos Para Festas Ltda(Adt Comercio De Artigos Para Festas Ltda),34000.0,34000.0,,,,17
Ahera Solucoes Web Ltda(Ahera Solucoes Web Ltda),34000.0,34000.0,,,,8
Amsbr Tecnologia Ltda(Amsbr Tecnologia Ltda),34000.0,34000.0,,,,15
Chris Medic(Chris Medic Produtos Medicos Hospitalares E Cosmeticos Ltda),34000.0,34000.0,,,,5
Comercial Qpz Ltda(Comercial Qpz Ltda),34000.0,34000.0,,,,4
Da Arquitetura(Daniela Andrade Lage),34000.0,34000.0,,,,7
Distribuidora Uniao(Zen Toys Industria E Comercio De Brinquedos Ltda),34000.0,34000.0,,,,4
Dr. Visao(Instituto Da Visao-Hospital De Olhos Ltda ),34000.0,34000.0,,,,17
Elaine Benedita De Oliveira(Elaine Benedita De Oliveira ),34000.0,34000.0,,,,17
Eletro Peças Amorim(Eletropecas Amorim Ltda),34000.0,34000.0,,,,13
Exame Já,34000.0,34000.0,,,,17
F&F Atacadista Ltda(F&F Atacadista Ltda. ),34000.0,34000.0,,,,11
Fonnet Networks(Fonnet Comercio De Equipamentos De Telecomunicacoes Ltda),34000.0,34000.0,,,,4
Frilca Saco Plástico(Frilca Industria E Comercio De Sacos Plasticos Ltda),34000.0,34000.0,,,,10
Galpão Aviamentos,34000.0,34000.0,,,,17
Genuine Sistemas(Genuine Sistemas Ltda),34000.0,34000.0,,,,12
Gg Papel Tech(Gg Papel Tech Ltda),34000.0,34000.0,,,,8
Home Clean(Reldats Comercio E Manutencao Predial Ltda),34000.0,34000.0,,,,9
Instituto Dr Aroldo(Aroldo Alves Junior Ltda ),34000.0,34000.0,,,,8
Kalimed(Kalimed Distribuidora De Medicamentos Ltda),34000.0,34000.0,,,,5
Kc Franchising (Kc Franchising Ltda I ),34000.0,34000.0,,,,17
Kizarust Professionnel(Wilson Roberto Fernandes 93189648620 ),34000.0,34000.0,,,,7
Lashes Co. Alphaville Beauty Company,34000.0,34000.0,,,,17
Mircropress(Micropress Ltda),34000.0,34000.0,,,,11
Objetiva - Solucoes Em Consorcio S/S Ltda(Objetiva - Solucoes Em Consorcio S/S Ltda),34000.0,34000.0,,,,8
Ornament(Ornament ),34000.0,34000.0,,,,8
Policlean Oirad(Policlean Oirad Industria Quimica Ltda),34000.0,34000.0,,,,4
Protetics(Protetics Comercio De Proteses Ltda.),34000.0,34000.0,,,,10
Sense Auto Garage(Sense Motors Comercio De Veiculos Ltda )(Sense Motors Comercio De Veiculos Ltda ),34000.0,34000.0,,,,9
Silva Neto Engenharia(Silva Neto Engenharia Ltda),34000.0,34000.0,,,,17
So Flats Negocios Imobiliarios Ltda - Me(So Flats Negocios Imobiliarios Ltda),34000.0,34000.0,,,,7
Soft Gyn(Lacerda E Souto Comercio Bijuterias E Refrigeracao Ltda),34000.0,34000.0,,,,4
Surtel Comercio De Aparelhos Auditivos Ltda(Surtel Comercio De Aparelhos Auditivos Ltda ),34000.0,34000.0,,,,14
Tiago Lopes Pereira(Tiago Lopes Pereira),34000.0,34000.0,,,,6
Topfield(Tce Empreendimentos Esportivos Ltda),34000.0,34000.0,,,,4
Valdecir Rabelo Filho Sociedade De Advogados(Valdecir Rabelo Filho Sociedade De Advogados),34000.0,34000.0,,,,4
Wecad Games(Jackson Luiz Da Maia),34000.0,34000.0,,,,8
The Best Hvac Llc(The Best Hvac Llc),33999.0,33999.0,,,,7
Denia Paula Da Silva 99562871649(Denia Paula Da Silva 99562871649),33996.0,33996.0,,,,15
Agroquim(Riachuelo Insumos Agricolas Ltda),33992.0,33992.0,,,,7
Franna Pavimentacao E Urbanismo(Franna Industria E Servicos Ltda),33957.0,33957.0,,,,9
Cuisinier Industria E Distribuidora Lt(Cuisinier Industria E Distribuidora Ltda.),33940.0,33940.0,,,,5
Soul Care(Camila Germano Mondini Ltda),33930.0,33930.0,,,,10
Dklab Brasil(L&S Import Produtos De Pigmentacao Ltda),33924.8,33924.8,,,,7
Alberes Bezerra Do Nascimento(Alberes Bezerra Do Nascimento ),33900.0,33900.0,,,,9
Clinica Plenitude(Gil Zamignan E Zamignan Ltda ),33900.0,33900.0,,,,9
"Dumont Porcelanas, Nome De Fantasia.(Carvalho Rocha Comercio E Decoracoes De Porcelanas Ltda)",33900.0,33900.0,,,,8
Ana Aparecida Vargas Wanderhec(Ana Aparecida Vargas Wanderhe),33894.0,33894.0,,,,9
Cvc Brasil Operadora E Agência De Viagens S.A(Cvc Brasil Operadora E Agência De Viagens S.A) - 1,33882.0,33882.0,,,,9
Amor De Casa & Cozinha Comércio De Artigos Para O Lar Ltda(Amor De Casa & Cozinha Comercio De Artigos Para O Lar Ltda),33880.0,33880.0,,,,10
Divimax(Dmx Construcoes A Seco Ltda),33840.0,33840.0,,,,8
Studio Mickey Presentes Finos Ltda(Studio Mickey Presentes Finos Ltda),33840.0,33840.0,,,,8
Face Unic Florianópolis,33800.0,33800.0,,,,26
Face Unic Natal / Clínica Emagrecer (Odontologia Estetica & Facial Ltda),33800.0,33800.0,,,,26
My Office Escritórios Inteligentes Ltda(My Office Escritorios Inteligentes Ltda),33800.0,33800.0,,,,13
Lolo E Dodo Moveis E Decor Ltda(Lolo E Dodo Moveis E Decor Ltda),33780.0,33780.0,,,,9
"4security (Smartcyber Solucoes Em Ti Ltda)",33750.0,33750.0,,,,9
Ana Caroline Rudey(Ana Caroline Rudey ),33750.0,33750.0,,,,9
Benedito Moreira Da Cunha Advocacia(Benedito Moreira Da Cunha Advocacia ),33750.0,33750.0,,,,9
Bodega Vieira(Bodega Vieira Ltda ),33750.0,33750.0,,,,12
Br-Visa Apoio Administrativo Estrategico(Br-Visa Apoio Administrativo Estrategico Ltda ),33750.0,33750.0,,,,9
Bubo Bubo Otica Ltda - Transição(Bubo Bubo Otica Ltda ),33750.0,33750.0,,,,7
Colegio Realengo Jr(Aldeia Mirim Educacional Ltda )(Aldeia Mirim Educacional Ltda),33750.0,33750.0,,,,9
Construir Engenharia(Construir Solucoes Engenharia Ltda),33750.0,33750.0,,,,2
Construir Engenharia(Construir Solucoes Engenharia Ltda)(Construir Solucoes Engenharia Ltda),33750.0,33750.0,,,,2
Cubos Solucoes Em Tecnologia(Cubos Solucoes Em Tecnologia  ),33750.0,33750.0,,,,9
Domama Comercio De Utilidades E Importacao Ltda - Transição(Domama Comercio De Utilidades E Importacao Ltda ),33750.0,33750.0,,,,9
Estela Netto Arquitetura E Design(Estela Da Silva Netto Eireli ),33750.0,33750.0,,,,9
Hominiss Solutions(Hominiss Desenvolvimento Humano Limitada ),33750.0,33750.0,,,,9
J C Vaccarin & Vaccarin Ltda(J C Vaccarin & Vaccarin Ltda),33750.0,33750.0,,,,9
Jalj Com E Artigod Para Presentes Ltda(Jalj Com E Artigos Para Presentes Ltda),33750.0,33750.0,,,,9
Lojas Palheta Variedades Eireli(Lojas Palheta Variedades Ltda ),33750.0,33750.0,,,,9
M. Ranpani & Cia Ltda - Transição(M. Ranpani & Cia Ltda ),33750.0,33750.0,,,,8
Malta Indústria(Malta Industria De Equipamentos E Utilidades Domesticas Ltda ),33750.0,33750.0,,,,9
Marka Confecções Eireli (Bonny Concept)(Marka Confeccoes Ltda ),33750.0,33750.0,,,,9
Mastino Burger (Vip Burger Ltda),33750.0,33750.0,,,,9
Maxco Comercial De Produtos De Escritorio Eireli - Transição(Maxco Comercial De Produtos De Escritorio Eireli ),33750.0,33750.0,,,,9
Nova Abc Imóveis(Nova Abc Imoveis Consultoria Imobiliaria Ltda ),33750.0,33750.0,,,,9
Pool Lazer(Pool Lazer Ltda),33750.0,33750.0,,,,9
Resfriar Peças(Bondar & Silvestre Refrigeracoes Ltda ),33750.0,33750.0,,,,9
Sigo Erp(Duo3 Solucoes Em Tecnologia Da Informacao Ltda),33750.0,33750.0,,,,5
Xbf Celulares(Josinildes Moura De Menezes Carlos ),33750.0,33750.0,,,,9
Controll Car Protecao Veicular(Controll Car Associacao De Beneficios),33732.0,33732.0,,,,8
Bluecredit(Blue Instituicao De Pagamentos Eletronicos Ltda),33716.0,33716.0,,,,6
Ibraphema Servicos Medicos Ltda(Ibraphema Servicos Medicos Ltda),33671.0,33671.0,,,,7
Amazonia Connection Brazil Acai Ltda(Amazonia Connection Brazil Acai Ltda),33602.0,33602.0,,,,8
Alan Portas Ltda(Alan Portas Ltda),33600.0,33600.0,,,,12
Antonio Colonetti Negocios Imobiliarios(Antonio Colonetti Negocios Imobiliarios Eireli ),33600.0,33600.0,,,,7
Ar Certo Climatizacao (Ar Certo Climatizacao Eireli ),33600.0,33600.0,,,,8
